merged_idx,logic_id,file_path,label,label_localIndex,source,label_globalIndex,is_overlap,predict_global_label_A,predict_global_label_B
0,0,animal_3/party_A/dataset_split/val/cheetah/images - 2020-08-28T130309.702.jpg,cheetah,0,1,0,1,0,0
1,1,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121201.102.jpg,cheetah,0,1,0,1,7,5
2,2,animal_3/party_A/dataset_split/val/cheetah/images (95).jpg,cheetah,0,1,0,1,0,0
3,3,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121200.092.jpg,cheetah,0,1,0,1,0,0
4,4,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121203.304.jpg,cheetah,0,1,0,1,0,5
5,5,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121206.993.jpg,cheetah,0,1,0,1,0,0
6,6,animal_3/party_A/dataset_split/val/cheetah/images (34).jpg,cheetah,0,1,0,1,0,0
7,7,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121159.270.jpg,cheetah,0,1,0,1,0,1
8,8,animal_3/party_A/dataset_split/val/cheetah/images (78).jpg,cheetah,0,1,0,1,0,0
9,9,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121158.810.jpg,cheetah,0,1,0,1,0,2
10,10,animal_3/party_A/dataset_split/val/cheetah/images (18).jpg,cheetah,0,1,0,1,0,0
11,11,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121203.012.jpg,cheetah,0,1,0,1,0,0
12,12,animal_3/party_A/dataset_split/val/cheetah/36753.jpg,cheetah,0,1,0,1,0,0
13,13,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121201.101.jpg,cheetah,0,1,0,1,4,5
14,14,animal_3/party_A/dataset_split/val/cheetah/images - 2020-08-28T130309.966.jpg,cheetah,0,1,0,1,0,0
15,15,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121204.946.jpg,cheetah,0,1,0,1,0,0
16,16,animal_3/party_A/dataset_split/val/cheetah/images (75).jpg,cheetah,0,1,0,1,0,0
17,17,animal_3/party_A/dataset_split/val/cheetah/images (61).jpg,cheetah,0,1,0,1,0,0
18,18,animal_3/party_A/dataset_split/val/cheetah/cheetah-on-a-termite-mound-high-res-stock-photography-1574865776.jpg,cheetah,0,1,0,1,0,0
19,19,animal_3/party_A/dataset_split/val/cheetah/cheetah_cubs_2019_2_-_grahm_s_jones_columbus_zoo_and_aquarium.jpg,cheetah,0,1,0,1,0,0
20,20,animal_3/party_A/dataset_split/val/cheetah/images - 2020-08-28T130309.600.jpg,cheetah,0,1,0,1,0,0
21,21,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121206.892.jpg,cheetah,0,1,0,1,0,0
22,22,animal_3/party_A/dataset_split/val/cheetah/images - 2020-08-28T130309.970.jpg,cheetah,0,1,0,1,0,0
23,23,animal_3/party_A/dataset_split/val/cheetah/images (89).jpg,cheetah,0,1,0,1,0,0
24,24,animal_3/party_A/dataset_split/val/cheetah/idea_main-cheethas-4.jpg,cheetah,0,1,0,1,0,0
25,25,animal_3/party_A/dataset_split/val/cheetah/images - 2020-08-28T130309.193.jpg,cheetah,0,1,0,1,0,0
26,26,animal_3/party_A/dataset_split/val/cheetah/images - 2020-08-28T130309.093.jpg,cheetah,0,1,0,1,0,0
27,27,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121200.518.jpg,cheetah,0,1,0,1,0,0
28,28,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121203.817.jpg,cheetah,0,1,0,1,0,0
29,29,animal_3/party_A/dataset_split/val/cheetah/cheetah.jpg,cheetah,0,1,0,1,0,0
30,30,animal_3/party_A/dataset_split/val/cheetah/762734848.jpg,cheetah,0,1,0,1,0,0
31,31,animal_3/party_A/dataset_split/val/cheetah/images - 2020-08-28T130310.067.jpg,cheetah,0,1,0,1,0,0
32,32,animal_3/party_A/dataset_split/val/cheetah/images - 2020-10-16T121158.910.jpg,cheetah,0,1,0,1,0,0
