merged_idx,logic_id,file_path,label,label_localIndex,source,label_globalIndex,is_overlap,predict_global_label_A,predict_global_label_B
76,76,animal/party_A/dataset_split/val/Elephant/207.jpg,Elephant,1,1,4,1,4,4
77,77,animal/party_A/dataset_split/val/Elephant/344.jpg,Elephant,1,1,4,1,4,10
78,78,animal/party_A/dataset_split/val/Elephant/188.jpg,Elephant,1,1,4,1,4,10
79,79,animal/party_A/dataset_split/val/Elephant/293.jpg,Elephant,1,1,4,1,4,8
80,80,animal/party_A/dataset_split/val/Elephant/197.jpg,Elephant,1,1,4,1,4,4
81,81,animal/party_A/dataset_split/val/Elephant/349.jpg,Elephant,1,1,4,1,10,4
82,82,animal/party_A/dataset_split/val/Elephant/056.jpg,Elephant,1,1,4,1,4,4
83,83,animal/party_A/dataset_split/val/Elephant/007.jpg,Elephant,1,1,4,1,4,10
84,84,animal/party_A/dataset_split/val/Elephant/010.jpg,Elephant,1,1,4,1,10,9
85,85,animal/party_A/dataset_split/val/Elephant/054.jpg,Elephant,1,1,4,1,10,1
86,86,animal/party_A/dataset_split/val/Elephant/118.jpg,Elephant,1,1,4,1,4,9
87,87,animal/party_A/dataset_split/val/Elephant/341.jpg,Elephant,1,1,4,1,10,4
88,88,animal/party_A/dataset_split/val/Elephant/292.jpg,Elephant,1,1,4,1,4,4
89,89,animal/party_A/dataset_split/val/Elephant/368.jpg,Elephant,1,1,4,1,4,4
90,90,animal/party_A/dataset_split/val/Elephant/358.jpg,Elephant,1,1,4,1,4,10
91,91,animal/party_A/dataset_split/val/Elephant/061.jpg,Elephant,1,1,4,1,4,10
92,92,animal/party_A/dataset_split/val/Elephant/327.jpg,Elephant,1,1,4,1,4,4
93,93,animal/party_A/dataset_split/val/Elephant/136.jpg,Elephant,1,1,4,1,4,4
94,94,animal/party_A/dataset_split/val/Elephant/185.jpg,Elephant,1,1,4,1,4,10
95,95,animal/party_A/dataset_split/val/Elephant/179.jpg,Elephant,1,1,4,1,4,6
96,96,animal/party_A/dataset_split/val/Elephant/088.jpg,Elephant,1,1,4,1,4,4
97,97,animal/party_A/dataset_split/val/Elephant/318.jpg,Elephant,1,1,4,1,4,4
98,98,animal/party_A/dataset_split/val/Elephant/209.jpg,Elephant,1,1,4,1,4,4
99,99,animal/party_A/dataset_split/val/Elephant/101.jpg,Elephant,1,1,4,1,10,4
100,100,animal/party_A/dataset_split/val/Elephant/161.jpg,Elephant,1,1,4,1,4,0
101,101,animal/party_A/dataset_split/val/Elephant/103.jpg,Elephant,1,1,4,1,4,4
102,102,animal/party_A/dataset_split/val/Elephant/127.jpg,Elephant,1,1,4,1,4,4
103,103,animal/party_A/dataset_split/val/Elephant/085.jpg,Elephant,1,1,4,1,2,4
104,104,animal/party_A/dataset_split/val/Elephant/037.jpg,Elephant,1,1,4,1,4,4
105,105,animal/party_A/dataset_split/val/Elephant/332.jpg,Elephant,1,1,4,1,4,4
106,106,animal/party_A/dataset_split/val/Elephant/285.jpg,Elephant,1,1,4,1,4,4
107,107,animal/party_A/dataset_split/val/Elephant/034.jpg,Elephant,1,1,4,1,4,10
108,108,animal/party_A/dataset_split/val/Elephant/321.jpg,Elephant,1,1,4,1,2,4
109,109,animal/party_A/dataset_split/val/Elephant/366.jpg,Elephant,1,1,4,1,4,10
110,110,animal/party_A/dataset_split/val/Elephant/235.jpg,Elephant,1,1,4,1,4,4
111,111,animal/party_A/dataset_split/val/Elephant/009.jpg,Elephant,1,1,4,1,4,5
112,112,animal/party_A/dataset_split/val/Elephant/105.jpg,Elephant,1,1,4,1,4,4
113,113,animal/party_A/dataset_split/val/Elephant/370.jpg,Elephant,1,1,4,1,4,4
114,114,animal/party_A/dataset_split/val/Elephant/146.jpg,Elephant,1,1,4,1,10,10
115,115,animal/party_A/dataset_split/val/Elephant/310.jpg,Elephant,1,1,4,1,4,4
116,116,animal/party_A/dataset_split/val/Elephant/313.jpg,Elephant,1,1,4,1,4,4
117,117,animal/party_A/dataset_split/val/Elephant/024.jpg,Elephant,1,1,4,1,4,4
118,118,animal/party_A/dataset_split/val/Elephant/271.jpg,Elephant,1,1,4,1,4,4
119,119,animal/party_A/dataset_split/val/Elephant/218.jpg,Elephant,1,1,4,1,2,4
120,120,animal/party_A/dataset_split/val/Elephant/270.jpg,Elephant,1,1,4,1,4,4
121,121,animal/party_A/dataset_split/val/Elephant/317.jpg,Elephant,1,1,4,1,10,4
122,122,animal/party_A/dataset_split/val/Elephant/181.jpg,Elephant,1,1,4,1,4,4
123,123,animal/party_A/dataset_split/val/Elephant/365.jpg,Elephant,1,1,4,1,10,4
124,124,animal/party_A/dataset_split/val/Elephant/323.jpg,Elephant,1,1,4,1,4,10
125,125,animal/party_A/dataset_split/val/Elephant/201.jpg,Elephant,1,1,4,1,4,4
126,126,animal/party_A/dataset_split/val/Elephant/309.jpg,Elephant,1,1,4,1,4,10
127,127,animal/party_A/dataset_split/val/Elephant/352.jpg,Elephant,1,1,4,1,4,4
128,128,animal/party_A/dataset_split/val/Elephant/377.jpg,Elephant,1,1,4,1,4,4
129,129,animal/party_A/dataset_split/val/Elephant/205.jpg,Elephant,1,1,4,1,4,4
130,130,animal/party_A/dataset_split/val/Elephant/274.jpg,Elephant,1,1,4,1,4,4
131,131,animal/party_A/dataset_split/val/Elephant/259.jpg,Elephant,1,1,4,1,10,10
132,132,animal/party_A/dataset_split/val/Elephant/305.jpg,Elephant,1,1,4,1,10,4
133,133,animal/party_A/dataset_split/val/Elephant/222.jpg,Elephant,1,1,4,1,4,4
134,134,animal/party_A/dataset_split/val/Elephant/328.jpg,Elephant,1,1,4,1,4,4
135,135,animal/party_A/dataset_split/val/Elephant/300.jpg,Elephant,1,1,4,1,4,4
136,136,animal/party_A/dataset_split/val/Elephant/187.jpg,Elephant,1,1,4,1,4,4
137,137,animal/party_A/dataset_split/val/Elephant/282.jpg,Elephant,1,1,4,1,4,10
138,138,animal/party_A/dataset_split/val/Elephant/028.jpg,Elephant,1,1,4,1,4,4
139,139,animal/party_A/dataset_split/val/Elephant/296.jpg,Elephant,1,1,4,1,10,4
140,140,animal/party_A/dataset_split/val/Elephant/023.jpg,Elephant,1,1,4,1,4,4
141,141,animal/party_A/dataset_split/val/Elephant/093.jpg,Elephant,1,1,4,1,4,4
142,142,animal/party_A/dataset_split/val/Elephant/281.jpg,Elephant,1,1,4,1,4,4
143,143,animal/party_A/dataset_split/val/Elephant/373.jpg,Elephant,1,1,4,1,4,10
144,144,animal/party_A/dataset_split/val/Elephant/232.jpg,Elephant,1,1,4,1,4,7
145,145,animal/party_A/dataset_split/val/Elephant/160.jpg,Elephant,1,1,4,1,4,10
146,146,animal/party_A/dataset_split/val/Elephant/035.jpg,Elephant,1,1,4,1,4,4
147,147,animal/party_A/dataset_split/val/Elephant/158.jpg,Elephant,1,1,4,1,4,10
148,148,animal/party_A/dataset_split/val/Elephant/110.jpg,Elephant,1,1,4,1,4,10
149,149,animal/party_A/dataset_split/val/Elephant/236.jpg,Elephant,1,1,4,1,4,4
150,150,animal/party_A/dataset_split/val/Elephant/338.jpg,Elephant,1,1,4,1,4,4
151,151,animal/party_A/dataset_split/val/Elephant/171.jpg,Elephant,1,1,4,1,4,4
152,152,animal/party_A/dataset_split/val/Rhino/094.jpg,Rhino,2,1,10,1,10,10
153,153,animal/party_A/dataset_split/val/Rhino/164.jpg,Rhino,2,1,10,1,10,10
154,154,animal/party_A/dataset_split/val/Rhino/344.jpg,Rhino,2,1,10,1,4,10
155,155,animal/party_A/dataset_split/val/Rhino/106.jpg,Rhino,2,1,10,1,10,10
156,156,animal/party_A/dataset_split/val/Rhino/355.jpg,Rhino,2,1,10,1,10,10
157,157,animal/party_A/dataset_split/val/Rhino/086.jpg,Rhino,2,1,10,1,10,10
158,158,animal/party_A/dataset_split/val/Rhino/213.jpg,Rhino,2,1,10,1,4,10
159,159,animal/party_A/dataset_split/val/Rhino/325.jpg,Rhino,2,1,10,1,10,10
160,160,animal/party_A/dataset_split/val/Rhino/007.jpg,Rhino,2,1,10,1,4,12
161,161,animal/party_A/dataset_split/val/Rhino/010.jpg,Rhino,2,1,10,1,10,10
162,162,animal/party_A/dataset_split/val/Rhino/054.jpg,Rhino,2,1,10,1,10,10
163,163,animal/party_A/dataset_split/val/Rhino/341.jpg,Rhino,2,1,10,1,10,10
164,164,animal/party_A/dataset_split/val/Rhino/322.jpg,Rhino,2,1,10,1,10,10
165,165,animal/party_A/dataset_split/val/Rhino/368.jpg,Rhino,2,1,10,1,10,10
166,166,animal/party_A/dataset_split/val/Rhino/330.jpg,Rhino,2,1,10,1,10,10
167,167,animal/party_A/dataset_split/val/Rhino/061.jpg,Rhino,2,1,10,1,10,10
168,168,animal/party_A/dataset_split/val/Rhino/185.jpg,Rhino,2,1,10,1,4,10
169,169,animal/party_A/dataset_split/val/Rhino/361.jpg,Rhino,2,1,10,1,10,10
170,170,animal/party_A/dataset_split/val/Rhino/162.jpg,Rhino,2,1,10,1,4,10
171,171,animal/party_A/dataset_split/val/Rhino/165.jpg,Rhino,2,1,10,1,10,10
172,172,animal/party_A/dataset_split/val/Rhino/209.jpg,Rhino,2,1,10,1,10,10
173,173,animal/party_A/dataset_split/val/Rhino/112.jpg,Rhino,2,1,10,1,10,10
174,174,animal/party_A/dataset_split/val/Rhino/369.jpg,Rhino,2,1,10,1,10,4
175,175,animal/party_A/dataset_split/val/Rhino/037.jpg,Rhino,2,1,10,1,10,10
176,176,animal/party_A/dataset_split/val/Rhino/226.jpg,Rhino,2,1,10,1,10,4
177,177,animal/party_A/dataset_split/val/Rhino/371.jpg,Rhino,2,1,10,1,10,10
178,178,animal/party_A/dataset_split/val/Rhino/130.jpg,Rhino,2,1,10,1,10,10
179,179,animal/party_A/dataset_split/val/Rhino/285.jpg,Rhino,2,1,10,1,4,10
180,180,animal/party_A/dataset_split/val/Rhino/034.jpg,Rhino,2,1,10,1,4,10
181,181,animal/party_A/dataset_split/val/Rhino/321.jpg,Rhino,2,1,10,1,10,10
182,182,animal/party_A/dataset_split/val/Rhino/286.jpg,Rhino,2,1,10,1,10,10
183,183,animal/party_A/dataset_split/val/Rhino/104.jpg,Rhino,2,1,10,1,10,10
184,184,animal/party_A/dataset_split/val/Rhino/380.jpg,Rhino,2,1,10,1,10,10
185,185,animal/party_A/dataset_split/val/Rhino/331.jpg,Rhino,2,1,10,1,10,10
