Unnamed: 0,merged_idx,logic_id,file_path,label,label_localIndex,source,label_globalIndex,is_overlap,predict_global_label_A,predict_global_label_B
0,0,0,animal_2/party_A/dataset_split/val/cat/cats_00322.jpg,cat,0,1,0,1,0,4
1,1,1,animal_2/party_A/dataset_split/val/cat/cats_00356.jpg,cat,0,1,0,1,0,4
2,2,2,animal_2/party_A/dataset_split/val/cat/cats_00810.jpg,cat,0,1,0,1,0,4
3,3,3,animal_2/party_A/dataset_split/val/cat/cats_00756.jpg,cat,0,1,0,1,0,3
4,4,4,animal_2/party_A/dataset_split/val/cat/cats_00554.jpg,cat,0,1,0,1,0,3
5,5,5,animal_2/party_A/dataset_split/val/cat/cats_00727.jpg,cat,0,1,0,1,0,4
6,6,6,animal_2/party_A/dataset_split/val/cat/cats_00729.jpg,cat,0,1,0,1,0,0
7,7,7,animal_2/party_A/dataset_split/val/cat/cats_00815.jpg,cat,0,1,0,1,0,2
8,8,8,animal_2/party_A/dataset_split/val/cat/cats_00747.jpg,cat,0,1,0,1,0,0
9,9,9,animal_2/party_A/dataset_split/val/cat/cats_00045.jpg,cat,0,1,0,1,0,2
10,10,10,animal_2/party_A/dataset_split/val/cat/cats_00197.jpg,cat,0,1,0,1,0,3
11,11,11,animal_2/party_A/dataset_split/val/cat/cats_00341.jpg,cat,0,1,0,1,0,0
12,12,12,animal_2/party_A/dataset_split/val/cat/cats_00609.jpg,cat,0,1,0,1,0,4
13,13,13,animal_2/party_A/dataset_split/val/cat/cats_00694.jpg,cat,0,1,0,1,0,3
14,14,14,animal_2/party_A/dataset_split/val/cat/cats_00635.jpg,cat,0,1,0,1,1,2
15,15,15,animal_2/party_A/dataset_split/val/cat/cats_00069.jpg,cat,0,1,0,1,1,3
16,16,16,animal_2/party_A/dataset_split/val/cat/cats_00840.jpg,cat,0,1,0,1,0,3
17,17,17,animal_2/party_A/dataset_split/val/cat/cats_00219.jpg,cat,0,1,0,1,0,4
18,18,18,animal_2/party_A/dataset_split/val/cat/cats_00924.jpg,cat,0,1,0,1,0,4
19,19,19,animal_2/party_A/dataset_split/val/cat/cats_00052.jpg,cat,0,1,0,1,0,3
20,20,20,animal_2/party_A/dataset_split/val/cat/cats_00369.jpg,cat,0,1,0,1,1,4
21,21,21,animal_2/party_A/dataset_split/val/cat/cats_00409.jpg,cat,0,1,0,1,0,1
22,22,22,animal_2/party_A/dataset_split/val/cat/cats_00176.jpg,cat,0,1,0,1,0,0
23,23,23,animal_2/party_A/dataset_split/val/cat/cats_00569.jpg,cat,0,1,0,1,0,3
24,24,24,animal_2/party_A/dataset_split/val/cat/cats_00917.jpg,cat,0,1,0,1,0,2
25,25,25,animal_2/party_A/dataset_split/val/cat/cats_00122.jpg,cat,0,1,0,1,0,1
26,26,26,animal_2/party_A/dataset_split/val/cat/cats_00892.jpg,cat,0,1,0,1,0,4
27,27,27,animal_2/party_A/dataset_split/val/cat/cats_00200.jpg,cat,0,1,0,1,0,0
28,28,28,animal_2/party_A/dataset_split/val/cat/cats_00905.jpg,cat,0,1,0,1,0,0
29,29,29,animal_2/party_A/dataset_split/val/cat/cats_00440.jpg,cat,0,1,0,1,0,3
30,30,30,animal_2/party_A/dataset_split/val/cat/cats_00507.jpg,cat,0,1,0,1,0,0
31,31,31,animal_2/party_A/dataset_split/val/cat/cats_00418.jpg,cat,0,1,0,1,0,3
32,32,32,animal_2/party_A/dataset_split/val/cat/cats_00945.jpg,cat,0,1,0,1,0,3
33,33,33,animal_2/party_A/dataset_split/val/cat/cats_00190.jpg,cat,0,1,0,1,0,3
34,34,34,animal_2/party_A/dataset_split/val/cat/cats_00140.jpg,cat,0,1,0,1,0,0
35,35,35,animal_2/party_A/dataset_split/val/cat/cats_00134.jpg,cat,0,1,0,1,0,3
36,36,36,animal_2/party_A/dataset_split/val/cat/cats_00170.jpg,cat,0,1,0,1,0,4
37,37,37,animal_2/party_A/dataset_split/val/cat/cats_00013.jpg,cat,0,1,0,1,0,2
38,38,38,animal_2/party_A/dataset_split/val/cat/cats_00019.jpg,cat,0,1,0,1,0,4
39,39,39,animal_2/party_A/dataset_split/val/cat/cats_00567.jpg,cat,0,1,0,1,0,0
40,40,40,animal_2/party_A/dataset_split/val/cat/cats_00071.jpg,cat,0,1,0,1,1,3
41,41,41,animal_2/party_A/dataset_split/val/cat/cats_00736.jpg,cat,0,1,0,1,0,3
42,42,42,animal_2/party_A/dataset_split/val/cat/cats_00214.jpg,cat,0,1,0,1,0,3
43,43,43,animal_2/party_A/dataset_split/val/cat/cats_00464.jpg,cat,0,1,0,1,1,4
44,44,44,animal_2/party_A/dataset_split/val/cat/cats_00750.jpg,cat,0,1,0,1,0,4
45,45,45,animal_2/party_A/dataset_split/val/cat/cats_00235.jpg,cat,0,1,0,1,0,0
46,46,46,animal_2/party_A/dataset_split/val/cat/cats_00841.jpg,cat,0,1,0,1,1,3
47,47,47,animal_2/party_A/dataset_split/val/cat/cats_00794.jpg,cat,0,1,0,1,0,4
48,48,48,animal_2/party_A/dataset_split/val/cat/cats_00586.jpg,cat,0,1,0,1,0,1
49,49,49,animal_2/party_A/dataset_split/val/cat/cats_00319.jpg,cat,0,1,0,1,1,4
50,50,50,animal_2/party_A/dataset_split/val/cat/cats_00621.jpg,cat,0,1,0,1,0,4
51,51,51,animal_2/party_A/dataset_split/val/cat/cats_00535.jpg,cat,0,1,0,1,1,3
52,52,52,animal_2/party_A/dataset_split/val/cat/cats_00600.jpg,cat,0,1,0,1,0,0
53,53,53,animal_2/party_A/dataset_split/val/cat/cats_00561.jpg,cat,0,1,0,1,0,0
54,54,54,animal_2/party_A/dataset_split/val/cat/cats_00661.jpg,cat,0,1,0,1,0,4
55,55,55,animal_2/party_A/dataset_split/val/cat/cats_00640.jpg,cat,0,1,0,1,0,3
56,56,56,animal_2/party_A/dataset_split/val/cat/cats_00055.jpg,cat,0,1,0,1,1,2
57,57,57,animal_2/party_A/dataset_split/val/cat/cats_00393.jpg,cat,0,1,0,1,0,3
58,58,58,animal_2/party_A/dataset_split/val/cat/cats_00944.jpg,cat,0,1,0,1,0,3
59,59,59,animal_2/party_A/dataset_split/val/cat/cats_00542.jpg,cat,0,1,0,1,0,3
60,60,60,animal_2/party_A/dataset_split/val/cat/cats_00361.jpg,cat,0,1,0,1,0,1
61,61,61,animal_2/party_A/dataset_split/val/cat/cats_00026.jpg,cat,0,1,0,1,0,4
62,62,62,animal_2/party_A/dataset_split/val/cat/cats_00374.jpg,cat,0,1,0,1,0,3
63,63,63,animal_2/party_A/dataset_split/val/cat/cats_00650.jpg,cat,0,1,0,1,0,3
