merged_idx,logic_id,file_path,label,label_localIndex,source,label_globalIndex,is_overlap,predict_global_label_A,predict_global_label_B
0,0,flower_2/party_A/dataset_split/val/daisy/Daisy (73).jpeg,daisy,0,1,0,1,0,0
1,1,flower_2/party_A/dataset_split/val/daisy/Daisy (713).jpeg,daisy,0,1,0,1,0,0
2,2,flower_2/party_A/dataset_split/val/daisy/Daisy (565).jpeg,daisy,0,1,0,1,0,1
3,3,flower_2/party_A/dataset_split/val/daisy/test_Daisy (182).jpeg,daisy,0,1,0,1,0,0
4,4,flower_2/party_A/dataset_split/val/daisy/val_Daisy (17).jpeg,daisy,0,1,0,1,0,0
5,5,flower_2/party_A/dataset_split/val/daisy/Daisy (665).jpeg,daisy,0,1,0,1,0,0
6,6,flower_2/party_A/dataset_split/val/daisy/val_Daisy (325).jpeg,daisy,0,1,0,1,0,0
7,7,flower_2/party_A/dataset_split/val/daisy/val_Daisy (437).jpeg,daisy,0,1,0,1,0,0
8,8,flower_2/party_A/dataset_split/val/daisy/val_Daisy (361).jpeg,daisy,0,1,0,1,0,0
9,9,flower_2/party_A/dataset_split/val/daisy/Daisy (797).jpeg,daisy,0,1,0,1,0,0
10,10,flower_2/party_A/dataset_split/val/daisy/Daisy (587).jpeg,daisy,0,1,0,1,3,0
11,11,flower_2/party_A/dataset_split/val/daisy/test_Daisy (62).jpeg,daisy,0,1,0,1,0,0
12,12,flower_2/party_A/dataset_split/val/daisy/Daisy (91).jpeg,daisy,0,1,0,1,0,0
13,13,flower_2/party_A/dataset_split/val/daisy/Daisy (170).jpeg,daisy,0,1,0,1,0,0
14,14,flower_2/party_A/dataset_split/val/daisy/val_Daisy (274).jpeg,daisy,0,1,0,1,3,1
15,15,flower_2/party_A/dataset_split/val/daisy/Daisy (287).jpeg,daisy,0,1,0,1,0,0
16,16,flower_2/party_A/dataset_split/val/daisy/val_Daisy (295).jpeg,daisy,0,1,0,1,0,0
17,17,flower_2/party_A/dataset_split/val/daisy/Daisy (809).jpeg,daisy,0,1,0,1,0,0
18,18,flower_2/party_A/dataset_split/val/daisy/val_Daisy (420).jpeg,daisy,0,1,0,1,3,1
19,19,flower_2/party_A/dataset_split/val/daisy/val_Daisy (123).jpeg,daisy,0,1,0,1,0,0
