merged_idx,logic_id,file_path,label,label_localIndex,source,label_globalIndex,is_overlap,predict_global_label_A,predict_global_label_B
0,0,food/party_A/dataset_split/val/Pizza/102037.jpg,Pizza,0,1,0,1,0,3
1,1,food/party_A/dataset_split/val/Pizza/132484.jpg,Pizza,0,1,0,1,0,0
2,2,food/party_A/dataset_split/val/Pizza/143453.jpg,Pizza,0,1,0,1,0,0
3,3,food/party_A/dataset_split/val/Pizza/166823.jpg,Pizza,0,1,0,1,11,0
4,4,food/party_A/dataset_split/val/Pizza/89892.jpg,Pizza,0,1,0,1,0,0
5,5,food/party_A/dataset_split/val/Pizza/29417.jpg,Pizza,0,1,0,1,0,0
6,6,food/party_A/dataset_split/val/Pizza/169720.jpg,Pizza,0,1,0,1,0,3
7,7,food/party_A/dataset_split/val/Pizza/169318.jpg,Pizza,0,1,0,1,0,0
8,8,food/party_A/dataset_split/val/Pizza/195160.jpg,Pizza,0,1,0,1,0,0
9,9,food/party_A/dataset_split/val/Pizza/63480.jpg,Pizza,0,1,0,1,0,0
10,10,food/party_A/dataset_split/val/Pizza/40449.jpg,Pizza,0,1,0,1,0,0
11,11,food/party_A/dataset_split/val/Pizza/131561.jpg,Pizza,0,1,0,1,0,0
12,12,food/party_A/dataset_split/val/Pizza/138961.jpg,Pizza,0,1,0,1,0,0
13,13,food/party_A/dataset_split/val/Pizza/121834.jpg,Pizza,0,1,0,1,0,0
14,14,food/party_A/dataset_split/val/Pizza/59445.jpg,Pizza,0,1,0,1,0,0
15,15,food/party_A/dataset_split/val/Pizza/52934.jpg,Pizza,0,1,0,1,0,0
16,16,food/party_A/dataset_split/val/Pizza/13983.jpg,Pizza,0,1,0,1,0,0
17,17,food/party_A/dataset_split/val/Pizza/124815.jpg,Pizza,0,1,0,1,0,0
18,18,food/party_A/dataset_split/val/Pizza/129666.jpg,Pizza,0,1,0,1,0,0
19,19,food/party_A/dataset_split/val/Pizza/61656.jpg,Pizza,0,1,0,1,0,0
20,20,food/party_A/dataset_split/val/Pizza/238843.jpg,Pizza,0,1,0,1,0,0
21,21,food/party_A/dataset_split/val/Pizza/147785.jpg,Pizza,0,1,0,1,0,0
22,22,food/party_A/dataset_split/val/Pizza/226472.jpg,Pizza,0,1,0,1,0,0
23,23,food/party_A/dataset_split/val/Pizza/96357.jpg,Pizza,0,1,0,1,0,0
24,24,food/party_A/dataset_split/val/Pizza/194643.jpg,Pizza,0,1,0,1,0,0
25,25,food/party_A/dataset_split/val/Pizza/140016.jpg,Pizza,0,1,0,1,0,3
26,26,food/party_A/dataset_split/val/Pizza/12718.jpg,Pizza,0,1,0,1,0,0
27,27,food/party_A/dataset_split/val/Pizza/218711.jpg,Pizza,0,1,0,1,0,0
28,28,food/party_A/dataset_split/val/Pizza/168879.jpg,Pizza,0,1,0,1,0,0
29,29,food/party_A/dataset_split/val/Pizza/99604.jpg,Pizza,0,1,0,1,0,0
30,30,food/party_A/dataset_split/val/Pizza/54461.jpg,Pizza,0,1,0,1,0,0
31,31,food/party_A/dataset_split/val/Pizza/34632.jpg,Pizza,0,1,0,1,0,0
32,32,food/party_A/dataset_split/val/Pizza/175626.jpg,Pizza,0,1,0,1,0,0
33,33,food/party_A/dataset_split/val/Pizza/212995.jpg,Pizza,0,1,0,1,0,0
34,34,food/party_A/dataset_split/val/Pizza/242813.jpg,Pizza,0,1,0,1,0,0
35,35,food/party_A/dataset_split/val/Pizza/80750.jpg,Pizza,0,1,0,1,0,0
36,36,food/party_A/dataset_split/val/Pizza/194784.jpg,Pizza,0,1,0,1,0,0
37,37,food/party_A/dataset_split/val/Pizza/23199.jpg,Pizza,0,1,0,1,0,0
38,38,food/party_A/dataset_split/val/Pizza/148765.jpg,Pizza,0,1,0,1,0,0
39,39,food/party_A/dataset_split/val/Pizza/139952.jpg,Pizza,0,1,0,1,0,0
40,40,food/party_A/dataset_split/val/Pizza/83538.jpg,Pizza,0,1,0,1,0,0
41,41,food/party_A/dataset_split/val/Pizza/82578.jpg,Pizza,0,1,0,1,0,0
42,42,food/party_A/dataset_split/val/Pizza/153195.jpg,Pizza,0,1,0,1,0,3
43,43,food/party_A/dataset_split/val/Pizza/214728.jpg,Pizza,0,1,0,1,0,0
44,44,food/party_A/dataset_split/val/Pizza/132554.jpg,Pizza,0,1,0,1,0,3
45,45,food/party_A/dataset_split/val/Pizza/44449.jpg,Pizza,0,1,0,1,0,0
46,46,food/party_A/dataset_split/val/Pizza/242976.jpg,Pizza,0,1,0,1,0,0
47,47,food/party_A/dataset_split/val/Pizza/233143.jpg,Pizza,0,1,0,1,0,0
48,48,food/party_A/dataset_split/val/Pizza/72716.jpg,Pizza,0,1,0,1,0,0
49,49,food/party_A/dataset_split/val/Pizza/139987.jpg,Pizza,0,1,0,1,0,0
50,50,food/party_A/dataset_split/val/Pizza/56449.jpg,Pizza,0,1,0,1,0,3
51,51,food/party_A/dataset_split/val/Pizza/138855.jpg,Pizza,0,1,0,1,0,0
52,52,food/party_A/dataset_split/val/Pizza/77677.jpg,Pizza,0,1,0,1,0,0
